0.8219,0.6288
0.7422,0.6316
0.7130,0.5807
0.6790,0.5786
0.5585,0.5198
0.5367,0.5597
0.4835,0.4512
0.4684,0.5261
0.4480,0.4613
0.4092,0.4399
0.4012,0.4099
0.3805,0.4188
0.3720,0.4384
0.3482,0.4037
0.3601,0.3678
0.3441,0.3634
0.3255,0.3692
0.3178,0.3788
0.3007,0.3357
0.2979,0.3526
0.3023,0.3425
0.2830,0.3518
0.2783,0.3410
0.2733,0.3293
0.2779,0.3258
0.2683,0.3351
0.2708,0.3202
0.2676,0.2968
0.2548,0.3039
0.2500,0.3092
0.2539,0.3015
0.2562,0.2968
0.2516,0.2905
0.2487,0.3185
0.2373,0.2964
0.2491,0.3035
0.2468,0.3181
0.2479,0.2887
0.2411,0.2861
0.2505,0.2842
0.2403,0.2779
0.2379,0.2891
0.2365,0.3118
0.2437,0.3032
0.2379,0.3140
0.2380,0.3112
0.2434,0.2701
0.2268,0.2958
0.2448,0.3031
0.2410,0.2909
0.2460,0.3029
0.2459,0.2944
0.2442,0.2929
0.2364,0.2949
0.2439,0.2925
0.2406,0.2959
0.2323,0.2928
0.2309,0.2873
0.2476,0.2910
0.2373,0.3053
0.2340,0.3037
0.2426,0.2980
0.2327,0.2696
0.2434,0.3006
0.2438,0.3110
0.2301,0.2835
0.2387,0.3034
0.2389,0.2755
0.2360,0.2861
0.2362,0.2886
0.2441,0.2823
0.2370,0.2826
0.2421,0.2978
0.2323,0.3067
0.2395,0.2970
0.2362,0.2905
0.2370,0.2837
0.2390,0.2938
0.2329,0.2891
0.2239,0.2742
0.2362,0.2877
0.2334,0.2893
0.2356,0.2895
0.2399,0.2808
0.2359,0.2824
0.2410,0.2892
0.2379,0.3042
0.2505,0.2852
0.2360,0.2647
0.2358,0.2855
0.2393,0.3019
0.2414,0.2848
0.2364,0.3020
0.2344,0.2928
0.2424,0.2919
0.2452,0.2900
0.2364,0.2950
0.2360,0.2927
0.2422,0.3070
0.2381,0.2790
